"Date","positive_score","negative_score","stock_price"
2017-08-01,0.0749,0.0947,347.23999
2017-08-02,0.0739,0.0887,351.059998
2017-08-03,0.0753,0.1044,345.359985
2017-08-04,0.0747,0.1025,344.559998
2017-08-05,0.0767,0.0902,NA
2017-08-06,0.0774,0.0939,NA
2017-08-07,0.0734,0.0918,339.450012
2017-08-08,0.0727,0.0887,333.640015
2017-08-09,0.0715,0.0848,334.609985
2017-08-10,0.0647,0.0781,322.649994
2017-08-11,0.0722,0.0863,326.410004
2017-08-12,0.0708,0.0864,NA
2017-08-13,0.0821,0.0872,NA
2017-08-14,0.0711,0.0909,322.399994
2017-08-15,0.0778,0.1051,322.779999
2017-08-16,0.0817,0.0984,320.130005
2017-08-17,0.0736,0.0923,317.920013
2017-08-18,0.0703,0.0994,311.23999
2017-08-19,0.0755,0.1001,NA
2017-08-20,0.0708,0.0873,NA
2017-08-21,0.0681,0.0884,308.589996
2017-08-22,0.0696,0.0966,305.51001
2017-08-23,0.0681,0.0825,297.089996
2017-08-24,0.0759,0.108,301.920013
2017-08-25,0.072,0.1073,308.790009
2017-08-26,0.0705,0.0992,NA
2017-08-27,0.074,0.0951,NA
2017-08-28,0.0739,0.0922,312.019989
2017-08-29,0.0752,0.0984,310.369995
2017-08-30,0.0758,0.1017,315.130005
2017-08-31,0.0739,0.1069,316.709991
2017-09-01,0.0759,0.1005,319.950012
2017-09-02,0.0644,0.0769,NA
2017-09-03,0.07,0.0826,NA
2017-09-04,0.0584,0.0919,NA
2017-09-05,0.0538,0.0732,308.320007
2017-09-06,0.0699,0.0709,317.880005
2017-09-07,0.0678,0.0811,317.25
2017-09-08,0.0747,0.09,300.029999
2017-09-09,0.0709,0.0937,NA
2017-09-10,0.0728,0.093,NA
2017-09-11,0.0664,0.0812,305.140015
2017-09-12,0.0804,0.0964,308.829987
2017-09-13,0.0873,0.1116,311.600006
2017-09-14,0.082,0.1031,310.589996
2017-09-15,0.0819,0.0941,313.089996
2017-09-16,0.074,0.097,NA
2017-09-17,0.0805,0.1057,NA
2017-09-18,0.0673,0.087,301.869995
2017-09-19,0.0845,0.0927,303.410004
2017-09-20,0.0837,0.095,312.390015
2017-09-21,0.0758,0.0903,313.220001
2017-09-22,0.074,0.0909,314.309998
2017-09-23,0.0781,0.069,NA
2017-09-24,0.0715,0.0894,NA
2017-09-25,0.0745,0.0845,320.829987
2017-09-26,0.0768,0.0845,319.209991
2017-09-27,0.0768,0.0857,313.850006
2017-09-28,0.0741,0.0855,316.529999
2017-09-29,0.0816,0.0921,307.829987
2017-09-30,0.0765,0.0911,NA
2017-10-01,0.0756,0.0945,NA
2017-10-02,0.0696,0.0792,301.809998
2017-10-03,0.075,0.087,302.98999
2017-10-04,0.0766,0.0815,306.809998
2017-10-05,0.073,0.0905,310.350006
2017-10-06,0.0734,0.0927,307.640015
2017-10-07,0.0712,0.097,NA
2017-10-08,0.0743,0.0915,NA
2017-10-09,0.0757,0.0917,303.920013
2017-10-10,0.0774,0.0842,310.880005
2017-10-11,0.0728,0.0848,311.48999
2017-10-12,0.0745,0.0843,314.170013
2017-10-13,0.0672,0.0788,326.450012
2017-10-14,0.0713,0.0946,NA
2017-10-15,0.0743,0.0936,NA
2017-10-16,0.0777,0.0846,320.390015
2017-10-17,0.0712,0.0842,329.299988
2017-10-18,0.0754,0.0838,318.23999
2017-10-19,0.0752,0.0861,325.269989
2017-10-20,0.0666,0.0889,324.76001
2017-10-21,0.0758,0.0924,NA
2017-10-22,0.0688,0.0882,NA
2017-10-23,0.0675,0.0816,320.450012
2017-10-24,0.056,0.1031,324.299988
2017-10-25,0.0679,0.0843,277.01001
2017-10-26,0.0724,0.0873,281.519989
2017-10-27,0.0677,0.0871,276.119995
2017-10-28,0.0625,0.0855,NA
2017-10-29,0.0712,0.0956,NA
2017-10-30,0.0719,0.0878,268.700012
2017-10-31,0.0674,0.096,271.899994
